delta,epsilon,avg,max_surprise
0.94,0.18,0.927484,3066.56
0.75,0.3,1.05443,484.664
0.5,0.18,1.01023,4.96556
0.62,0.72,2.1149,5421.23
0.68,0.98,160.769,4.3239e+06
0.81,0.56,1.63015,21414.6
0.56,0.46,1.13232,133.494
0.87,0.82,1.12735,9797.34
0.94,0.16,0.897114,2665.88
0.5,0.16,1.01001,4.17862
0.62,0.7,1.80399,3925.79
0.75,0.28,1.0879,553.819
0.81,0.54,1.50742,19136.6
0.68,0.96,34.9388,538737
0.87,0.8,2.83426,77471.5
0.56,0.44,1.1535,177.504
0.94,0.14,1.22699,11291.8
0.5,0.14,1.00569,3.48537
0.62,0.68,1.68811,1692.62
0.75,0.26,1.09028,927.389
0.81,0.52,1.58703,22369.2
0.87,0.78,2.44796,75734.9
0.56,0.42,1.11683,113.355
0.68,0.94,16.4308,170372
0.94,0.12,0.911574,1951.74
0.5,0.12,1.0054,3.01334
0.62,0.66,1.72443,4606.59
0.75,0.24,1.04864,422.041
0.81,0.5,1.56654,6527.8
0.56,0.4,1.10435,135.761
0.68,0.92,20.8212,600480
0.5,0.1,1.00501,2.53564
0.94,0.1,0.98691,9211.3
0.62,0.64,1.63203,1936.22
0.87,0.76,2.45438,51435.1
0.75,0.22,1.03802,323.853
0.81,0.48,1.19141,3004.62
0.56,0.38,1.10947,51.9475
0.68,0.9,19.3647,400513
0.5,0.08,1.00163,2.32515
0.94,0.08,0.996319,3050.77
0.75,0.2,1.07912,600.75
0.62,0.62,1.5179,3373.42
0.87,0.74,1.86401,23382.1
0.56,0.36,1.08197,54.0425
0.81,0.46,1.15018,2064.35
0.68,0.88,5.77158,59767.9
0.5,0.06,0.999831,1.80919
0.94,0.06,0.993202,4554.03
0.75,0.18,1.04936,551.745
0.62,0.6,1.49168,1238.98
0.56,0.34,1.07172,45.4022
0.87,0.72,2.64812,62783.6
0.81,0.44,1.22503,2656.07
0.5,0.04,1.00167,1.57957
0.94,0.04,0.942994,1472.49
0.68,0.86,5.81652,39206.3
0.75,0.16,1.00915,204.467
0.62,0.58,1.41413,1799.38
0.56,0.32,1.06967,48.6921
0.87,0.7,20.2748,1.22065e+06
0.81,0.42,1.17267,1541.13
0.68,0.84,4.40057,27115.5
0.5,0.02,1.00241,1.33398
0.75,0.14,1.00975,179.083
0.94,0.02,0.754552,448.884
0.62,0.56,1.34763,434.822
0.56,0.3,1.05356,42.2316
0.87,0.68,1.91308,40999.6
0.81,0.4,1.26285,6452.19
0.5,0,1.00256,1.17969
0.75,0.12,1.02161,257.139
0.68,0.82,5.16193,135834
0.94,0,1.26429,10660.1
0.62,0.54,1.30539,616.069
0.56,0.28,1.03864,49.9558
0.81,0.38,1.1051,1624.45
0.68,0.8,2.74965,11140.5
0.87,0.66,2.05606,35226.9
0.75,0.1,1.00793,286.075
0.56,0.26,1.04374,22.9154
0.62,0.52,1.27134,942.263
0.93,0.98,1.3117,35239.8
0.81,0.36,1.10308,1797.81
0.68,0.78,2.84723,8474.6
0.75,0.08,0.999188,209.532
0.87,0.64,1.30283,16295.3
0.56,0.24,1.02875,20.1666
0.62,0.5,1.22455,621.503
0.93,0.96,1.64014,32840.5
0.75,0.06,1.00342,118.062
0.68,0.76,2.33472,15643
0.87,0.62,1.62689,18976.9
0.81,0.34,1.09883,1822.56
0.56,0.22,1.02571,21.9696
0.62,0.48,1.22574,522.77
0.81,0.32,1.16432,1442.77
0.68,0.74,2.03457,11897.7
0.75,0.04,0.991483,157.172
0.93,0.94,0.591408,8021.02
0.87,0.6,1.1374,4905.93
0.62,0.46,1.19479,311.493
0.56,0.2,1.02373,20.7028
0.75,0.02,1.00133,137.557
0.68,0.72,2.2944,9650.57
0.93,0.92,0.516991,13885.9
0.81,0.3,1.1132,984.747
0.87,0.58,9.20802,511922
0.75,0,0.980622,125.333
0.93,0.9,0.350797,4681.1
0.81,0.28,1.03473,936.032
0.87,0.56,1.58237,13879.1
0.74,0.98,503.229,1.47039e+07
0.93,0.88,7.33101,453419
0.81,0.26,1.09959,990.253
0.87,0.54,1.34783,14940.1
0.93,0.86,1.00093,34190.1
0.81,0.24,1.05442,905.547
0.87,0.52,0.988623,2428.19
0.93,0.84,0.991819,26349.7
0.87,0.5,0.971269,2371.83
0.93,0.82,0.526636,3238.44
0.93,0.8,0.889806,24684.8
0.93,0.78,3.79446,168647
0.93,0.76,1.14185,25082.5
